id;dept_name;rep_last_name;rep_first_name;rep_email;rep_phone_num;is_used_for_invoice
1;a arc;unimpressively costume whose;supposing;titter watchful given;from airport;true
2;fondly yahoo;offensively politely;burly;noise utilized;geez drat following;true
3;yum shakily men;because for;coal rarely;share rice;monthly commemorate consequently;false
4;provided wobbly;force barring deprave;dark prince meh;unbearably;midst wrestler stereotype;false
5;pfft aside;offer qualified;yahoo;huzzah;perfumed mmm;false
6;save out convertible;gosh because enormously;abnormality meanwhile roll;quietly lest phooey;than issue fooey;false
7;now;honored assist;meh after diligently;boo inch;whoa gleeful;false
8;baulk forenenst besides;wide-eyed ick;legitimate;curiously;arise opposite pace;false
9;till whenever;cautiously meanwhile;times;even hmph;about;true
10;prostacyclin but;boohoo;orange;reproachfully blame faithfully;while;true
