id;address_1;address_2;city;state;county;zip_code;country
1;peaceful polite club;dizzy high anenst;Cummeratamouth;worriedly slushy openly;meanwhile oof;60087;Liechtenstein
2;indeed admin;next;Lake Tamaraport;urgently husband as;when within breastplate;87158-3231;Lao People's Democratic Republic
3;quarrelsomely;lambaste finally eek;Veumbury;within after;sharply even seashore;57677;Martinique
4;how demoralise;till;Willfort;unfolded constrain;pasteurise taut gah;99603;Chile
5;thaw crooked engine;gosh;Runolfsdottirberg;until tensely;whose effacement weigh;78080;Albania
6;wombat;rubbery;Port Tomberg;boohoo;limit bike;00097;Ethiopia
7;like;garrote till teach;New Mylesfield;gee peek;repayment;05615;Saint Kitts and Nevis
8;embargo aside;midst bah properly;New Sincerefurt;against;triumph tense hovercraft;89020;Brazil
9;excepting;deserted;East Addison;who whereas disentangle;oof jolly;76603-6991;Slovenia
10;jaggedly ruck bleak;burly easily;Georgetown;who;out snoopy phew;02493;Cameroon
