id;address_1;address_2;city;state;county;zip_code;country;is_used_for_invoice
1;mockingly neatly mmm;as nicely;East Gwenborough;vastly prudent;lieutenant;18958;Honduras;false
2;below await foregather;quickly ill;Bauchworth;however;transfix;84577;Guam;false
3;for daily;yet hence delightfully;Ozellabury;triumphantly;super who;22162-4856;Tonga;false
4;furthermore noisily;waterproof silently;East Santashire;skullduggery that needily;productive;79549;Netherlands;true
5;yippee whose;fooey;Botsfordton;following;though;50234-3054;Paraguay;true
6;profuse;trooper untrue roughly;Port Lemuel;including um;yum;01189-9321;Switzerland;true
7;uh-huh wide-eyed;boo;New Dexterburgh;rapidly airplane frightfully;utterly meh;91527;Martinique;false
8;highly furthermore encounter;blah bourgeoisie;Emmittshire;reproachfully;meanwhile ping;21084-7755;French Guiana;false
9;juvenile embellished innocently;likely before whenever;Carriecester;vacuum;trouble kindly velvety;92189;Cook Islands;false
10;whose repeatedly really;indeed crossly even;Port Norwoodboro;phooey beyond;ick;28692;Togo;true
