id;address_1;address_2;city;state;county;zip_code;country
1;sweetly redact phew;gee;West Willow;far-off;blah;85462-9841;Macao
2;loftily asterisk actually;throughout prioritize;New Jewelside;so;metro buoy;09471;Norfolk Island
3;whoa towards;jaggedly yippee beside;New Vancebury;perfectly;if;22299;Anguilla
4;boo helplessly;eek;Jodytown;kookily black-and-white;wildly;70665;Bulgaria
5;jovially drat;huzzah mid;New Loma;promptly;indeed glittering repeatedly;90003-9965;Greece
6;worriedly;parallel until cite;South Paige;by foolishly beside;distribute catalyst entire;84344-3187;South Africa
7;difficult merrily;hourly gah;Roxanneboro;urgently passage;fade ambiguity regarding;42644-3172;Burkina Faso
8;or dearly;party;Gulgowskiport;meh;navigate who;71552-4779;Netherlands
9;famously;hide comedy ah;Metairie;very heat;super strictly lighthearted;25287;Falkland Islands (Malvinas)
10;hence;apropos;Marquesview;perceive optimist;cease as suddenly;92219;Malawi
