id;first_name;lastname;email;phone_num;address_1;address_2;city;state;county;zip_code;country
1;Stephon;revolve whereas binge;"qp!b7@S.1;.m";times;uncommon given unwitting;yum need;Palm Harbor;ouch;canalize;06277-2622;Guadeloupe
2;Hassie;noted headline showy;"9WMD@voe|..4I";meaningfully aromatic ouch;gee when;evenly truthfully;North Kevinside;honestly;fervently before;09954-4961;Anguilla
3;Bernardo;pointed wherever filthy;"Rsu1t@Y.r";linen prior;against tonality;overdue incompetence bleak;Sheboygan;greatly yet;consequently aha;45044;Trinidad and Tobago
4;Floyd;hot ameliorate;"f@)wa.c^0n<";spiffy drat brownie;and diligently ew;thorny;Jaskolskichester;enclosure costly;award;77214;Saint Lucia
5;Arnulfo;defiantly;"^@X~.0!g~Pu";tape phooey black;tolerate intentional yippee;along more but;Port Nathanial;outflank vice;heat gah circular;02280;Gabon
6;Alden;whoever;"4feR%@JNk1n.`H";warlike;blah;arrogantly amidst;Arnoldland;mmm operate happy-go-lucky;pish however crystallise;80968-4012;Croatia
7;Bertram;junk;"i@nV-6B:.:`B";though;millet;sublet whether astride;Port Eliza;per till;alongside regal eek;47524-3192;Bahamas
8;Eldridge;up eyelash;"?}Q@Qzq.4GqKi|";unbearably helpless including;rip uselessly poison;pfft;East Columbusborough;gentle mostly;eyeglasses of honorable;91765;Isle of Man
9;Darrin;eek encase;"+Ll|@zO8Gt..V66GL";liner;delightfully recent onto;too horsewhip to;Port Henderson;however sugar;furthermore yet cleaner;61064-8943;Guatemala
10;Annabel;on;"TF9@Tt+oWY.S;~49";unfinished;fluid geez;before provided;East Junius;unusual;loom;56591-0931;Isle of Man
